,open,high,low,close,volume,symbol
2019-10-29,87.37,87.4,87.2,87.22,10943648.0,HYG
2019-10-28,87.4,87.44,87.38,87.38,10631478.0,HYG
2019-10-25,87.3,87.42,87.3,87.39,11659770.0,HYG
2019-10-24,87.26,87.32,87.17,87.32,14846543.0,HYG
2019-10-23,87.15,87.23,87.09,87.22,9110052.0,HYG
2019-10-22,87.18,87.18,87.08,87.14,15479150.0,HYG
2019-10-21,87.16,87.17,87.11,87.12,10115036.0,HYG
2019-10-18,87.07,87.13,86.96,87.09,21756850.0,HYG
2019-10-17,87.01,87.1,87.0,87.07,15193329.0,HYG
2019-10-16,86.99,87.01,86.94,86.95,12866957.0,HYG
2019-10-15,86.84,87.07,86.8,87.02,26992832.0,HYG
2019-10-14,86.77,86.87,86.69,86.83,10047949.0,HYG
2019-10-11,86.64,86.83,86.57,86.77,18722031.0,HYG
2019-10-10,86.32,86.48,86.3025,86.41,11081826.0,HYG
2019-10-09,86.27,86.38,86.25,86.3,11368279.0,HYG
2019-10-08,86.27,86.32,86.04,86.04,15492796.0,HYG
2019-10-07,86.37,86.49,86.25,86.36,14792409.0,HYG
2019-10-04,86.27,86.44,86.2044,86.43,18168500.0,HYG
2019-10-03,86.12,86.24,85.75,86.16,30560021.0,HYG
2019-10-02,86.57,86.58,86.04,86.11,35912046.0,HYG
2019-10-01,86.84,86.86,86.55,86.62,27983801.0,HYG
2019-09-30,87.06,87.17,87.02,87.17,21833138.0,HYG
2019-09-27,87.16,87.23,87.0,87.07,13529501.0,HYG
2019-09-26,87.23,87.26,87.04,87.17,14024900.0,HYG
2019-09-25,87.25,87.29,87.025,87.23,15273526.0,HYG
2019-09-24,87.52,87.53,87.21,87.32,22672427.0,HYG
2019-09-23,87.41,87.51,87.39,87.44,15684430.0,HYG
2019-09-20,87.4,87.51,87.335,87.48,23718692.0,HYG
2019-09-19,87.42,87.54,87.33,87.37,13466571.0,HYG
2019-09-18,87.46,87.54,87.19,87.47,16006104.0,HYG
2019-09-17,87.5,87.53,87.34,87.52,14723606.0,HYG
2019-09-16,87.3,87.48,87.18,87.47,23020606.0,HYG
2019-09-13,87.17,87.31,87.11,87.16,34407278.0,HYG
2019-09-12,87.34,87.43,87.25,87.32,23246363.0,HYG
2019-09-11,87.23,87.3,87.17,87.27,13999168.0,HYG
2019-09-10,87.24,87.31,87.1,87.28,14055795.0,HYG
2019-09-09,87.19,87.26,87.02,87.23,17484191.0,HYG
2019-09-06,87.18,87.3,87.04,87.14,25162706.0,HYG
2019-09-05,86.8,87.13,86.78,87.06,23443586.0,HYG
2019-09-04,86.69,86.75,86.585,86.72,13584014.0,HYG
2019-09-03,86.72,86.72,86.39,86.54,20620383.0,HYG
2019-08-30,87.38,87.39,86.97,87.16,14544774.0,HYG
2019-08-29,87.34,87.41,87.19,87.24,16332935.0,HYG
2019-08-28,86.92,87.19,86.885,87.15,13575973.0,HYG
2019-08-27,87.15,87.18,86.79,86.94,15522755.0,HYG
2019-08-26,86.82,86.98,86.74,86.98,14254175.0,HYG
2019-08-23,86.79,87.14,86.48,86.55,30377414.0,HYG
2019-08-22,86.94,87.03,86.75,86.95,20677201.0,HYG
2019-08-21,86.64,86.85,86.58,86.79,18334287.0,HYG
2019-08-20,86.39,86.47,86.25,86.42,16126788.0,HYG
2019-08-19,86.26,86.36,86.215,86.35,13753635.0,HYG
2019-08-16,85.94,86.13,85.94,86.1,16001445.0,HYG
2019-08-15,85.71,85.9,85.65,85.81,27560953.0,HYG
2019-08-14,85.94,85.965,85.5,85.56,29745348.0,HYG
2019-08-13,85.94,86.41,85.88,86.33,30078556.0,HYG
2019-08-12,86.01,86.14,85.88,85.95,16260924.0,HYG
2019-08-09,86.22,86.35,86.075,86.25,19090814.0,HYG
2019-08-08,86.05,86.415,86.05,86.37,27074705.0,HYG
2019-08-07,85.69,86.125,85.45,86.03,38028496.0,HYG
2019-08-06,85.87,86.115,85.67,86.04,28694973.0,HYG
2019-08-05,85.87,85.87,85.35,85.49,47727943.0,HYG
2019-08-02,86.49,86.49,86.18,86.39,23559569.0,HYG
2019-08-01,86.55,86.99,86.49,86.52,28838989.0,HYG
2019-07-31,87.15,87.26,86.575,86.93,23449745.0,HYG
2019-07-30,86.9,87.09,86.84,87.08,13794139.0,HYG
2019-07-29,87.15,87.16,86.96,87.04,14731750.0,HYG
2019-07-26,87.12,87.19,87.075,87.17,8512671.0,HYG
2019-07-25,87.15,87.15,86.91,86.98,14272501.0,HYG
2019-07-24,87.01,87.11,86.99,87.1,12713675.0,HYG
2019-07-23,86.95,87.06,86.85,87.03,14051757.0,HYG
2019-07-22,86.69,86.88,86.65,86.88,12852785.0,HYG
2019-07-19,86.74,86.78,86.56,86.59,14771008.0,HYG
2019-07-18,86.71,86.76,86.51,86.74,17466833.0,HYG
2019-07-17,86.88,86.88,86.69,86.7,9361289.0,HYG
2019-07-16,86.98,86.98,86.73,86.81,20147200.0,HYG
2019-07-15,86.91,87.07,86.86,86.99,10735225.0,HYG
2019-07-12,86.79,86.94,86.72,86.93,21291188.0,HYG
2019-07-11,87.01,87.01,86.67,86.79,19191191.0,HYG
2019-07-10,86.93,87.08,86.89,86.96,24497015.0,HYG
2019-07-09,86.76,86.8,86.7,86.72,19189131.0,HYG
2019-07-08,86.95,86.95,86.81,86.82,16679367.0,HYG
2019-07-05,87.08,87.09,86.85,86.99,17591404.0,HYG
2019-07-03,87.05,87.39,87.03,87.34,16237875.0,HYG
2019-07-02,86.88,87.06,86.835,87.01,20683206.0,HYG
2019-07-01,87.13,87.26,86.8,86.82,26159859.0,HYG
2019-06-28,87.2,87.25,87.15,87.18,14690816.0,HYG
2019-06-27,87.06,87.2,87.015,87.15,12995144.0,HYG
2019-06-26,87.12,87.16,86.875,86.91,19554630.0,HYG
2019-06-25,87.31,87.31,86.89,86.95,26173561.0,HYG
2019-06-24,87.33,87.37,87.28,87.32,13764098.0,HYG
2019-06-21,87.38,87.45,87.33,87.33,22467824.0,HYG
2019-06-20,87.43,87.65,87.29,87.61,48361982.0,HYG
2019-06-19,86.7,87.19,86.55,87.17,28212629.0,HYG
2019-06-18,86.57,86.77,86.54,86.76,22540422.0,HYG
2019-06-17,86.24,86.29,86.12,86.16,10553974.0,HYG
2019-06-14,86.32,86.36,86.22,86.29,8841970.0,HYG
2019-06-13,86.3,86.41,86.25,86.35,19438516.0,HYG
2019-06-12,86.33,86.345,86.13,86.15,18195480.0,HYG
2019-06-11,86.51,86.659,86.22,86.35,34293659.0,HYG
2019-06-10,86.26,86.34,86.18,86.23,17482220.0,HYG
2019-06-07,86.0,86.21,85.95,86.1,29933970.0,HYG
2019-06-06,85.68,85.96,85.57,85.88,23538614.0,HYG
2019-06-05,85.58,85.72,85.425,85.7,28368707.0,HYG
2019-06-04,84.91,85.51,84.91,85.5,34113378.0,HYG
2019-06-03,84.65,84.78,84.4715,84.65,58940573.0,HYG
2019-05-31,85.24,85.335,84.88,84.9,34947397.0,HYG
2019-05-30,85.49,85.65,85.44,85.52,20311908.0,HYG
2019-05-29,85.46,85.52,85.25,85.34,25441933.0,HYG
2019-05-28,85.75,85.82,85.49,85.57,20544613.0,HYG
2019-05-24,85.87,85.97,85.64,85.65,17611614.0,HYG
2019-05-23,85.96,85.99,85.67,85.77,18333358.0,HYG
2019-05-22,86.08,86.2,85.97,86.2,14976216.0,HYG
2019-05-21,85.99,86.15,85.99,86.13,15004330.0,HYG
2019-05-20,85.92,86.075,85.78,85.86,15779972.0,HYG
2019-05-17,85.79,86.1,85.79,85.94,27089383.0,HYG
2019-05-16,85.83,86.11,85.8,85.97,29384103.0,HYG
2019-05-15,85.49,85.76,85.44,85.71,19543682.0,HYG
2019-05-14,85.61,85.83,85.53,85.63,18128534.0,HYG
2019-05-13,85.675,85.765,85.42,85.44,34801691.0,HYG
2019-05-10,85.96,86.31,85.745,86.23,33782377.0,HYG
2019-05-09,85.99,86.055,85.68,85.99,30890379.0,HYG
2019-05-08,86.1,86.295,86.03,86.12,27527495.0,HYG
2019-05-07,86.4,86.45,85.95,86.09,30266321.0,HYG
2019-05-06,86.18,86.62,86.175,86.61,18893688.0,HYG
2019-05-03,86.52,86.6,86.47,86.57,18522666.0,HYG
2019-05-02,86.36,86.48,86.18,86.35,24936593.0,HYG
2019-05-01,86.59,86.865,86.275,86.29,24574338.0,HYG
2019-04-30,86.97,87.04,86.92,86.94,11168084.0,HYG
2019-04-29,86.95,87.0,86.93,86.93,7601241.0,HYG
2019-04-26,86.85,86.975,86.85,86.97,11937241.0,HYG
2019-04-25,86.7,86.81,86.57,86.75,14368959.0,HYG
2019-04-24,86.85,86.85,86.7,86.71,11939042.0,HYG
2019-04-23,86.64,86.88,86.59,86.83,15094056.0,HYG
2019-04-22,86.62,86.66,86.52,86.53,24591438.0,HYG
2019-04-18,86.79,86.79,86.58,86.68,15295518.0,HYG
2019-04-17,86.94,86.94,86.63,86.64,11818598.0,HYG
