,open,high,low,close,volume,symbol
2020-02-10,17.0,17.05,15.65,16.01,3526335.0,TLRY
2020-02-07,17.0,17.31,16.47,16.915,2573566.0,TLRY
2020-02-06,17.6,17.93,17.07,17.78,1279158.0,TLRY
2020-02-05,18.39,18.44,17.5,17.59,1365855.0,TLRY
2020-02-04,17.31,18.54,17.22,18.15,2663246.0,TLRY
2020-02-03,17.8,17.855,16.82,17.26,3060409.0,TLRY
2020-01-31,19.05,19.4,17.301,17.54,4088662.0,TLRY
2020-01-30,18.58,19.29,18.58,19.22,1629506.0,TLRY
2020-01-29,19.62,19.69,18.81,18.93,2272317.0,TLRY
2020-01-28,19.07,19.68,18.66,19.53,2322125.0,TLRY
2020-01-27,18.76,19.27,18.48,18.56,3151823.0,TLRY
2020-01-24,21.37,21.45,19.38,19.75,4334811.0,TLRY
2020-01-23,20.76,21.88,20.3,21.17,3828696.0,TLRY
2020-01-22,21.3,22.23,20.72,20.85,5474145.0,TLRY
2020-01-21,20.98,22.95,20.66,21.09,6773394.0,TLRY
2020-01-17,20.5,21.9,20.11,20.97,6131025.0,TLRY
2020-01-16,21.41,21.69,19.56,20.43,8278022.0,TLRY
2020-01-15,21.41,22.52,20.12,21.36,16777034.0,TLRY
2020-01-14,17.25,21.6,16.54,21.22,14386013.0,TLRY
2020-01-13,15.5,17.46,15.26,17.37,4999997.0,TLRY
2020-01-10,15.78,15.9699,15.5138,15.55,1196958.0,TLRY
2020-01-09,16.0,16.31,15.55,15.83,2541548.0,TLRY
2020-01-08,15.23,16.29,15.01,15.8,3028875.0,TLRY
2020-01-07,15.62,15.6684,15.2,15.33,2067821.0,TLRY
2020-01-06,16.17,16.1899,15.26,15.5,3039870.0,TLRY
2020-01-03,16.35,16.73,15.81,16.01,2282109.0,TLRY
2020-01-02,17.63,17.7,16.33,16.4,3673240.0,TLRY
2019-12-31,15.63,17.78,15.615,17.13,5563891.0,TLRY
2019-12-30,16.15,16.24,15.567,15.72,2315480.0,TLRY
2019-12-27,16.51,16.775,16.25,16.27,1883567.0,TLRY
2019-12-26,17.11,17.2,16.37,16.55,2028351.0,TLRY
2019-12-24,17.01,17.33,16.82,17.2,1018651.0,TLRY
2019-12-23,17.3,17.3375,16.94,17.03,1623588.0,TLRY
2019-12-20,17.25,17.6,17.1123,17.31,1927754.0,TLRY
2019-12-19,17.2,17.7,16.92,17.31,1849014.0,TLRY
2019-12-18,17.8,18.16,17.16,17.16,2470553.0,TLRY
2019-12-17,18.3,18.32,17.77,17.84,1994467.0,TLRY
2019-12-16,18.5,18.7978,18.11,18.21,1792914.0,TLRY
2019-12-13,19.16,19.45,18.5,18.6,1474594.0,TLRY
2019-12-12,18.3,19.3,18.3,18.93,1599738.0,TLRY
2019-12-11,18.54,18.88,18.07,18.2,1240797.0,TLRY
2019-12-10,19.04,19.185,18.42,18.55,944095.0,TLRY
2019-12-09,18.37,19.44,18.25,19.2,1891043.0,TLRY
2019-12-06,18.5,18.64,18.0,18.2,1361578.0,TLRY
2019-12-05,18.78,18.9472,18.31,18.39,1563856.0,TLRY
2019-12-04,19.64,19.69,18.75,18.76,1338723.0,TLRY
2019-12-03,18.55,19.6582,18.5,19.55,1196907.0,TLRY
2019-12-02,19.84,19.8954,18.73,19.01,1600917.0,TLRY
2019-11-29,20.3,20.42,19.45,19.84,1042895.0,TLRY
2019-11-27,20.28,20.559,19.98,20.24,964009.0,TLRY
2019-11-26,20.26,21.01,19.925,20.05,1802024.0,TLRY
2019-11-25,21.5,21.7,20.5,20.79,1626937.0,TLRY
2019-11-22,21.95,22.0,21.18,21.33,1869026.0,TLRY
2019-11-21,22.2,23.8,21.6,22.43,5404916.0,TLRY
2019-11-20,20.35,21.26,20.23,20.92,2272754.0,TLRY
2019-11-19,19.72,20.7,19.72,19.98,1877283.0,TLRY
2019-11-18,20.0,20.14,19.53,19.91,1576190.0,TLRY
2019-11-15,19.44,20.5,19.4122,19.93,2032458.0,TLRY
2019-11-14,20.55,20.84,19.5,19.81,2710439.0,TLRY
2019-11-13,21.26,22.16,20.92,20.93,2445464.0,TLRY
2019-11-12,21.71,21.8996,20.8,21.57,3273014.0,TLRY
2019-11-11,23.58,23.63,21.8,21.92,1994433.0,TLRY
2019-11-08,22.35,24.1,22.15,23.42,2223279.0,TLRY
2019-11-07,23.03,23.4,21.76,22.24,1191995.0,TLRY
2019-11-06,22.74,23.75,22.19,22.89,1370070.0,TLRY
2019-11-05,22.1,23.077,21.66,22.43,1108193.0,TLRY
2019-11-04,21.72,22.193,21.3,22.1,898370.0,TLRY
2019-11-01,22.2,22.65,21.5,21.62,1031140.0,TLRY
2019-10-31,22.06,22.54,21.51,22.31,907464.0,TLRY
2019-10-30,22.18,22.8,22.12,22.21,632126.0,TLRY
2019-10-29,22.85,23.1074,21.95,22.15,1005778.0,TLRY
2019-10-28,23.75,24.75,22.85,23.09,1297205.0,TLRY
2019-10-25,24.02,24.4388,23.42,23.67,1656065.0,TLRY
2019-10-24,22.72,25.685,22.52,24.38,3217518.0,TLRY
2019-10-23,22.17,22.8,22.03,22.63,872980.0,TLRY
2019-10-22,22.4,22.86,22.05,22.15,851609.0,TLRY
2019-10-21,21.38,22.65,21.03,22.44,916236.0,TLRY
2019-10-18,22.4,22.49,21.25,21.37,910698.0,TLRY
2019-10-17,22.49,22.73,21.66,22.49,1214864.0,TLRY
2019-10-16,22.2,22.45,21.5,21.73,1259603.0,TLRY
2019-10-15,21.45,22.5,21.05,22.12,2138645.0,TLRY
